row_id	pdf_page	block	row_in_block	h	k	l	Fcal2_raw	Fobs2_raw	sigma_Fobs2_raw	marker_raw	Fcal2_numeric	Fobs2_numeric	sigma_Fobs2_numeric	Fcal2_sign_status	Fobs2_sign_status
si-p01-L-r001	1	L	1	1	1	1	7003914.5	6490375.5	14339.41	o	7003914.5	6490375.5	14339.41	resolved	resolved
si-p01-L-r002	1	L	2	0	2	2	177497.72	332465.25	3898.85	o	177497.72	332465.25	3898.85	resolved	resolved
si-p01-L-r003	1	L	3	2	2	2	445969.03	185545.3	3838.04	o	445969.03	185545.3	3838.04	resolved	resolved
si-p01-L-r004	1	L	4	1	1	3	10219.2	-407.76	2155.32	o	10219.2	-407.76	2155.32	resolved	resolved
si-p01-L-r005	1	L	5	1	3	3	5128.3	12576.72	3260.63	o	5128.3	12576.72	3260.63	resolved	resolved
si-p01-L-r006	1	L	6	3	3	3	93472.77	37530.51	4325.95	o	93472.77	37530.51	4325.95	resolved	resolved
si-p01-L-r007	1	L	7	0	0	4	467367.38	492032.09	26675.04	o	467367.38	492032.09	26675.04	resolved	resolved
si-p01-L-r008	1	L	8	2	2	4	110881.37	57376.18	4272.17	o	110881.37	57376.18	4272.17	resolved	resolved
si-p01-L-r009	1	L	9	0	4	4	310198.66	413593.94	6604.29	o	310198.66	413593.94	6604.29	resolved	resolved
si-p01-L-r010	1	L	10	2	4	4	1059665.38	1028542.75	9456.19	o	1059665.38	1028542.75	9456.19	resolved	resolved
si-p01-L-r011	1	L	11	4	4	4	83788.88	113719.27	5954.5	o	83788.88	113719.27	5954.5	resolved	resolved
si-p01-L-r012	1	L	12	1	1	5	275443.03	245790.86	6247.79	o	275443.03	245790.86	6247.79	resolved	resolved
si-p01-L-r013	1	L	13	1	3	5	20070.43	31369.47	3418.32	o	20070.43	31369.47	3418.32	resolved	resolved
si-p01-L-r014	1	L	14	3	3	5	3155090.25	3465176.25	119309.87	o	3155090.25	3465176.25	119309.87	resolved	resolved
si-p01-L-r015	1	L	15	1	5	5	98362.7	63540.11	5606.48	o	98362.7	63540.11	5606.48	resolved	resolved
si-p01-L-r016	1	L	16	3	5	5	82493.59	80768.59	5719.16	o	82493.59	80768.59	5719.16	resolved	resolved
si-p01-L-r017	1	L	17	5	5	5	319799.22	310526.13	7281.63	o	319799.22	310526.13	7281.63	resolved	resolved
si-p01-L-r018	1	L	18	0	2	6	894.04	25639.83	3498	o	894.04	25639.83	3498.0	resolved	resolved
si-p01-L-r019	1	L	19	2	2	6	2453228.75	2848849.5	184459.3	o	2453228.75	2848849.5	184459.3	resolved	resolved
si-p01-L-r020	1	L	20	2	4	6	779458.63	790964.13	6705.34	o	779458.63	790964.13	6705.34	resolved	resolved
si-p01-L-r021	1	L	21	4	4	6	732736.56	635525.5	21159.44	o	732736.56	635525.5	21159.44	resolved	resolved
si-p01-L-r022	1	L	22	0	6	6	21549.61	39722.87	5125.53	o	21549.61	39722.87	5125.53	resolved	resolved
si-p01-L-r023	1	L	23	2	6	6	296636.81	263954.59	7159.28	o	296636.81	263954.59	7159.28	resolved	resolved
si-p01-L-r024	1	L	24	4	6	6	163714.77	148236.38	6196	o	163714.77	148236.38	6196.0	resolved	resolved
si-p01-L-r025	1	L	25	6	6	6	4062.35	106416.48	5821.47	o	4062.35	106416.48	5821.47	resolved	resolved
si-p01-L-r026	1	L	26	1	1	7	247095.56	194661.83	4481.96	o	247095.56	194661.83	4481.96	resolved	resolved
si-p01-L-r027	1	L	27	1	3	7	5386.14	5996.56	3622.7	o	5386.14	5996.56	3622.7	resolved	resolved
si-p01-L-r028	1	L	28	3	3	7	74997.09	84162.94	4000.66	o	74997.09	84162.94	4000.66	resolved	resolved
si-p01-L-r029	1	L	29	1	5	7	46356.46	47591.04	4079.88	o	46356.46	47591.04	4079.88	resolved	resolved
si-p01-L-r030	1	L	30	3	5	7	828239.19	840603.5	7849.59	o	828239.19	840603.5	7849.59	resolved	resolved
si-p01-L-r031	1	L	31	5	5	7	109624.84	104129.01	4785.79	o	109624.84	104129.01	4785.79	resolved	resolved
si-p01-L-r032	1	L	32	1	7	7	511690.78	462207.53	8485.2	o	511690.78	462207.53	8485.2	resolved	resolved
