entry_id,source_name,preparation_type,status,precursor_to,source_locators_json,reagents_and_charges_json,operations_json,conditions_json,notes_json,mapping_scope
upstream-p-me-triarylsilane-hydride,(p-MeC6H4)3SiH,hydrosilane_synthesis,source_reported_procedure_not_current_schema_mapped,P(Si(p-MeC6H4)3)3,"[{""source_id"": ""gary-cossairt-2014-main"", ""source_pdf_sha256"": ""3842bc7fa6dc3fb36481b78f03f0b7bc4795f4bb82530e58a4e8f216678b794a"", ""pdf_page"": 7, ""printed_page"": ""1740"", ""section"": ""Experimental Section; preparation of (p-MeC6H4)3SiH""}]","[{""name"": ""magnesium turnings"", ""amount"": ""2.67 g"", ""moles"": ""110 mmol""}, {""name"": ""p-bromotoluene"", ""amount"": ""16.83 g"", ""moles"": ""98.4 mmol""}, {""name"": ""iodine"", ""amount"": ""one chip"", ""role"": ""initiator""}, {""name"": ""diethyl ether"", ""amount"": ""100 mL""}, {""name"": ""HSiCl3"", ""amount"": ""3.4 mL"", ""moles"": ""33.7 mmol""}, {""name"": ""diethyl ether"", ""amount"": ""10 mL"", ""role"": ""HSiCl3 solution""}, {""name"": ""aqueous HCl"", ""amount"": ""0.5–1 M"", ""role"": ""quench""}, {""name"": ""diethyl ether"", ""amount"": ""3 × 20 mL"", ""role"": ""wash""}, {""name"": ""methanol"", ""amount"": null, ""role"": ""post-isolation treatment""}]",[],[],"{""ordered_procedure"": [""Charge activated Mg and p-bromotoluene with an iodine chip in 100 mL ether under N2."", ""Briefly apply a heat gun; reflux begins after about 6 min and the reaction is run for 4.5 h total."", ""Transfer by cannula. Add 3.4 mL (33.7 mmol) HSiCl3 in 10 mL ether at about 1 drop/s; stir 30 min."", ""Quench with 0.5–1 M HCl; wash the ether phase 3 × 20 mL ether; dry over MgSO4, filter, and concentrate."", ""Dissolve in hexanes, freeze at −30 °C, and isolate. Stir the material in methanol at 60 °C for 2 h.""], ""reported_outcome"": {""isolated_mass"": ""1.7 g"", ""yield"": ""30% average over 7 runs""}, ""source_qualification"": [""The source calls this literature-adapted."", ""N2 is stated for the Grignard preparation; the following transfer/addition atmosphere is not independently expanded here.""], ""proposed_current_schema_record_id"": ""gary-cossairt-2014-upstream-p-me-triarylsilane-hydride"", ""canonical_mapping_status"": ""not_mapped_in_36_record_current_schema_candidate""}",Reader-only source evidence; no canonical upstream procedure record or downstream physical-batch link.
upstream-p-cl-triarylsilane-hydride,(p-ClC6H4)3SiH,hydrosilane_synthesis,source_reported_procedure_not_current_schema_mapped,P(Si(p-ClC6H4)3)3,"[{""source_id"": ""gary-cossairt-2014-main"", ""source_pdf_sha256"": ""3842bc7fa6dc3fb36481b78f03f0b7bc4795f4bb82530e58a4e8f216678b794a"", ""pdf_page"": 7, ""printed_page"": ""1740"", ""section"": ""Experimental Section; preparation of (p-ClC6H4)3SiH""}]","[{""name"": ""activated magnesium"", ""amount"": ""4.5 g"", ""moles"": ""185 mmol""}, {""name"": ""iodine"", ""amount"": ""not quantified""}, {""name"": ""diethyl ether"", ""amount"": ""30 mL""}, {""name"": ""1-bromo-4-chlorobenzene"", ""amount"": ""31.61 g"", ""moles"": ""165 mmol""}, {""name"": ""HSiCl3"", ""amount"": ""5.45 mL"", ""moles"": ""54 mmol""}, {""name"": ""ice / 5% HCl"", ""amount"": null, ""role"": ""quench""}, {""name"": ""diethyl ether"", ""amount"": ""3 × 20 mL"", ""role"": ""wash""}, {""name"": ""pentane"", ""amount"": null, ""role"": ""precipitation/recrystallization solvent""}, {""name"": ""ethanol"", ""amount"": null, ""role"": ""recrystallization solvent""}]",[],[],"{""ordered_procedure"": [""Under N2, charge activated Mg in 30 mL ether with iodine and saturated ether solution of 31.61 g (165 mmol) 1-bromo-4-chlorobenzene."", ""The mixture self-refluxes after 15 min. After 40 min add 5.45 mL (54 mmol) HSiCl3 under N2."", ""The source warns that this addition is very exothermic and should be performed in an ice bath. Reflux in an oil bath for 4 h."", ""Quench with ice/5% HCl; wash with ether 3 × 20 mL; dry over MgSO4, filter, and concentrate."", ""Add pentane, freeze at −30 °C, collect and recrystallize from ethanol.""], ""reported_outcome"": {""isolated_mass"": ""6.9 g"", ""yield"": ""46% average over 2 runs""}, ""proposed_current_schema_record_id"": ""gary-cossairt-2014-upstream-p-cl-triarylsilane-hydride"", ""canonical_mapping_status"": ""not_mapped_in_36_record_current_schema_candidate""}",Reader-only source evidence; no canonical upstream procedure record or downstream physical-batch link.
upstream-p-cf3-triarylsilane-hydride,(p-CF3C6H4)3SiH,hydrosilane_synthesis,source_reported_procedure_not_current_schema_mapped,P(Si(p-CF3C6H4)3)3,"[{""source_id"": ""gary-cossairt-2014-main"", ""source_pdf_sha256"": ""3842bc7fa6dc3fb36481b78f03f0b7bc4795f4bb82530e58a4e8f216678b794a"", ""pdf_page"": 7, ""printed_page"": ""1740"", ""section"": ""Experimental Section; preparation of (p-CF3C6H4)3SiH""}]","[{""name"": ""magnesium"", ""amount"": ""3 g"", ""moles"": ""123 mmol""}, {""name"": ""diethyl ether"", ""amount"": ""100 mL""}, {""name"": ""4-bromobenzotrifluoride"", ""amount"": ""9 mL"", ""moles"": ""64 mmol""}, {""name"": ""iodine"", ""amount"": ""not quantified""}, {""name"": ""HSiCl3"", ""amount"": ""2.2 mL"", ""moles"": ""21.8 mmol""}, {""name"": ""diethyl ether"", ""amount"": ""50 mL"", ""role"": ""HSiCl3 solution""}, {""name"": ""ice / 5% HCl"", ""amount"": null, ""role"": ""quench""}, {""name"": ""diethyl ether"", ""amount"": ""3 × 20 mL"", ""role"": ""wash""}, {""name"": ""pentane"", ""amount"": null, ""role"": ""two recrystallizations""}]",[],[],"{""ordered_procedure"": [""Under N2, combine Mg and 4-bromobenzotrifluoride with iodine in 100 mL ether; reflux 2 h."", ""Cool and transfer by cannula. Add 2.2 mL (21.8 mmol) HSiCl3 in 50 mL ether dropwise over ice."", ""Reflux in an oil bath overnight."", ""Quench with ice/5% HCl; wash with ether 3 × 20 mL; dry over MgSO4, filter, and concentrate."", ""Recrystallize twice from pentane.""], ""reported_outcome"": {""isolated_mass"": ""3.7 g"", ""yield"": ""48% average over 3 runs""}, ""proposed_current_schema_record_id"": ""gary-cossairt-2014-upstream-p-cf3-triarylsilane-hydride"", ""canonical_mapping_status"": ""not_mapped_in_36_record_current_schema_candidate""}",Reader-only source evidence; no canonical upstream procedure record or downstream physical-batch link.
upstream-p-me-triarylsilylchloride,(p-MeC6H4)3SiCl,chlorosilane_synthesis,source_reported_procedure_not_current_schema_mapped,P(Si(p-MeC6H4)3)3,"[{""source_id"": ""gary-cossairt-2014-main"", ""source_pdf_sha256"": ""3842bc7fa6dc3fb36481b78f03f0b7bc4795f4bb82530e58a4e8f216678b794a"", ""pdf_page"": 8, ""printed_page"": ""1741"", ""section"": ""Experimental Section; preparation of (p-MeC6H4)3SiCl""}]","[{""name"": ""PdCl2"", ""amount"": ""0.0198 g"", ""moles"": ""0.1 mmol""}, {""name"": ""hexachloroethane"", ""amount"": ""0.594 g"", ""moles"": ""2.5 mmol""}, {""name"": ""(p-MeC6H4)3SiH"", ""amount"": ""2.93 g"", ""moles"": ""9.7 mmol""}, {""name"": ""THF"", ""amount"": ""2.22 g""}, {""name"": ""pentane"", ""amount"": null, ""role"": ""purification""}, {""name"": ""Celite"", ""amount"": null, ""role"": ""filtration""}]",[],[],"{""ordered_procedure"": [""In a glovebox, combine PdCl2, hexachloroethane, the hydrosilane, and THF."", ""Stir at room temperature overnight in a loosely stoppered vessel."", ""Check completion by 1H NMR; remove THF, dissolve in pentane, filter through Celite, and evaporate.""], ""reported_outcome"": {""isolated_mass"": ""1.23 g"", ""yield"": ""63% average over 5 runs""}, ""proposed_current_schema_record_id"": ""gary-cossairt-2014-upstream-p-me-triarylsilylchloride"", ""canonical_mapping_status"": ""not_mapped_in_36_record_current_schema_candidate""}",Reader-only source evidence; no canonical upstream procedure record or downstream physical-batch link.
upstream-p-cf3-triarylsilylchloride-conflicted,Heading: (p-CF3C6H4)3SiCl; listed hydrosilane: (p-ClC6H4)3SiH,chlorosilane_synthesis,source_identity_conflict_unresolved; not_current_schema_mapped,"P(Si(p-CF3C6H4)3)3 is later named as a precursor, but this particular batch linkage remains unresolved","[{""source_id"": ""gary-cossairt-2014-main"", ""source_pdf_sha256"": ""3842bc7fa6dc3fb36481b78f03f0b7bc4795f4bb82530e58a4e8f216678b794a"", ""pdf_page"": 8, ""printed_page"": ""1741"", ""section"": ""Experimental Section; p-CF3 chlorosilane heading and listed charges""}]","[{""name"": ""(p-ClC6H4)3SiH as printed in input list"", ""amount"": ""9.6462 g"", ""moles"": ""20.8 mmol""}, {""name"": ""PdCl2"", ""amount"": ""0.2043 g"", ""moles"": ""1.2 mmol""}, {""name"": ""hexachloroethane"", ""amount"": ""1.2292 g"", ""moles"": ""5.2 mmol""}, {""name"": ""THF"", ""amount"": ""4.6302 g""}, {""name"": ""pentane"", ""amount"": null, ""role"": ""purification""}, {""name"": ""Celite"", ""amount"": null, ""role"": ""filtration""}]",[],[],"{""ordered_procedure"": [""The heading names (p-CF3C6H4)3SiCl, but the listed substrate is (p-ClC6H4)3SiH; preserve both labels."", ""Use N2 and stir for 5 days; monitor completion by 1H NMR."", ""Remove THF under reduced pressure, dissolve in pentane, filter through Celite, and evaporate.""], ""reported_outcome"": {""appearance"": ""pale yellow solid"", ""isolated_mass"": ""9.44 g"", ""yield"": ""91%"", ""reported_spectrum"": ""19F signal at −64.17""}, ""conflict"": {""status"": ""unresolved"", ""resolution"": ""Do not silently repair the heading or assign this isolated product as the exact p-CF3 chlorosilane used downstream.""}, ""proposed_current_schema_record_id"": ""gary-cossairt-2014-upstream-p-cf3-triarylsilylchloride-conflicted"", ""canonical_mapping_status"": ""not_mapped_in_36_record_current_schema_candidate""}",Reader-only source evidence; no canonical upstream procedure record or downstream physical-batch link.
upstream-p-cl-triarylsilylchloride,(p-ClC6H4)3SiCl,chlorosilane_synthesis,source_reported_procedure_not_current_schema_mapped,P(Si(p-ClC6H4)3)3,"[{""source_id"": ""gary-cossairt-2014-main"", ""source_pdf_sha256"": ""3842bc7fa6dc3fb36481b78f03f0b7bc4795f4bb82530e58a4e8f216678b794a"", ""pdf_page"": 8, ""printed_page"": ""1741"", ""section"": ""Experimental Section; preparation of (p-ClC6H4)3SiCl""}]","[{""name"": ""PdCl2"", ""amount"": ""0.130 g"", ""moles"": ""0.7 mmol""}, {""name"": ""hexachloroethane"", ""amount"": ""0.866 g"", ""moles"": ""3.7 mmol""}, {""name"": ""(p-ClC6H4)3SiH"", ""amount"": ""5.253 g"", ""moles"": ""14.4 mmol""}, {""name"": ""THF"", ""amount"": ""3.17 g""}, {""name"": ""pentane"", ""amount"": null, ""role"": ""purification""}, {""name"": ""Celite"", ""amount"": null, ""role"": ""filtration""}]",[],[],"{""ordered_procedure"": [""In a glovebox, combine PdCl2, hexachloroethane, the hydrosilane, and THF."", ""Stir at room temperature overnight; check completion by 1H NMR."", ""Remove THF, dissolve in pentane, filter through Celite, and evaporate. Redissolve in pentane, freeze overnight, and collect the white solid.""], ""reported_outcome"": {""isolated_mass"": ""4.46 g"", ""yield"": ""54% average over 4 runs""}, ""proposed_current_schema_record_id"": ""gary-cossairt-2014-upstream-p-cl-triarylsilylchloride"", ""canonical_mapping_status"": ""not_mapped_in_36_record_current_schema_candidate""}",Reader-only source evidence; no canonical upstream procedure record or downstream physical-batch link.
upstream-psiph3-triarylsilylphosphine,P(SiPh3)3,triarylsilylphosphine_synthesis,source_reported_procedure_not_current_schema_mapped,P(SiPh3)3 QD route,"[{""source_id"": ""gary-cossairt-2014-main"", ""source_pdf_sha256"": ""3842bc7fa6dc3fb36481b78f03f0b7bc4795f4bb82530e58a4e8f216678b794a"", ""pdf_page"": 8, ""printed_page"": ""1741"", ""section"": ""Experimental Section; synthesis of P(SiPh3)3""}, {""source_id"": ""gary-cossairt-2014-main"", ""source_pdf_sha256"": ""3842bc7fa6dc3fb36481b78f03f0b7bc4795f4bb82530e58a4e8f216678b794a"", ""pdf_page"": 9, ""printed_page"": ""1742"", ""section"": ""Experimental Section; continuation, isolation and workup""}]","[{""name"": ""sodium"", ""amount"": ""0.479 g"", ""moles"": ""20.8 mmol""}, {""name"": ""potassium"", ""amount"": ""0.629 g"", ""moles"": ""16.1 mmol""}, {""name"": ""1,2-dimethoxyethane (DME)"", ""amount"": ""100 mL"", ""role"": ""initial reaction medium""}, {""name"": ""red phosphorus"", ""amount"": ""0.392 g"", ""moles"": ""12.6 mmol""}, {""name"": ""chlorotriphenylsilane"", ""amount"": ""10.919 g"", ""moles"": ""37 mmol""}, {""name"": ""DME"", ""amount"": ""50 mL"", ""role"": ""chlorosilane solution""}, {""name"": ""toluene"", ""amount"": ""100 mL"", ""role"": ""glovebox treatment""}, {""name"": ""DME"", ""amount"": null, ""role"": ""recrystallization""}, {""name"": ""DME, 2-propanol, water"", ""amount"": null, ""role"": ""staged filtered-solids quench under N2""}]",[],[],"{""ordered_procedure"": [""In a glovebox, expose fresh surfaces and combine Na/K in a three-neck 250 mL flask until a Na/K eutectic alloy forms; add 100 mL DME."", ""Connect an N2 line; perform three vacuum/backfill cycles. Reflux 2 h and cool."", ""Add red P under counterflow N2 and reflux 24 h until a black (Na/K)3P intermediate is described."", ""Cool; under N2 exchange the condenser for an addition funnel. Add chlorotriphenylsilane (10.919 g, 37 mmol) in 50 mL DME dropwise and reflux 24 h."", ""Transfer to glovebox, stir in 100 mL toluene overnight, filter through Celite, reduce solvent, and recrystallize from DME."", ""The source describes filtered-solids quench under N2 in order DME, then 2-propanol, then water; retain this as source evidence, not a safety procedure.""], ""source_warnings"": [""The source emphasizes pyrophoric Na/K alloy and strict exclusion of oxygen and water, and warns the operation requires extreme care.""], ""reported_outcome"": {""isolated_mass"": ""2.9 g"", ""yield"": ""25% average over 5 runs""}, ""proposed_current_schema_record_id"": ""gary-cossairt-2014-upstream-psiph3"", ""canonical_mapping_status"": ""not_mapped_in_36_record_current_schema_candidate""}",Reader-only source evidence; no canonical upstream procedure record or downstream physical-batch link.
upstream-psipmearyl3-adapted,P(Si(p-MeC6H4)3)3,triarylsilylphosphine_synthesis,adapted_recipe_linked_to_base_procedure; not_current_schema_mapped,p-Me triarylsilylphosphine QD route,"[{""source_id"": ""gary-cossairt-2014-main"", ""source_pdf_sha256"": ""3842bc7fa6dc3fb36481b78f03f0b7bc4795f4bb82530e58a4e8f216678b794a"", ""pdf_page"": 9, ""printed_page"": ""1742"", ""section"": ""Experimental Section; substituted triarylsilylphosphine preparation""}]",[],[],[],"{""inherits_upstream_preparation_id"": ""upstream-psiph3-triarylsilylphosphine"", ""source_statement"": ""The source describes an adapted P(SiPh3)3 route and specifies 7.65 g of corresponding p-Me chlorosilane."", ""explicit_delta"": {""chlorosilane"": ""ClSi(p-MeC6H4)3"", ""amount"": ""7.65 g"", ""reported_product_mass"": ""1.83 g"", ""reported_yield"": ""26%""}, ""procedure_reuse_note"": ""All unlisted operations/charges are inherited only because the source states this preparation is adapted from the immediately preceding P(SiPh3)3 method; the paper does not restate them here."", ""proposed_current_schema_record_id"": ""gary-cossairt-2014-upstream-psipmearyl3"", ""canonical_mapping_status"": ""not_mapped_in_36_record_current_schema_candidate""}",Reader-only source evidence; no canonical upstream procedure record or downstream physical-batch link.
upstream-psipclaryl3-adapted,P(Si(p-ClC6H4)3)3,triarylsilylphosphine_synthesis,adapted_recipe_linked_to_base_procedure; not_current_schema_mapped,p-Cl triarylsilylphosphine QD route,"[{""source_id"": ""gary-cossairt-2014-main"", ""source_pdf_sha256"": ""3842bc7fa6dc3fb36481b78f03f0b7bc4795f4bb82530e58a4e8f216678b794a"", ""pdf_page"": 9, ""printed_page"": ""1742"", ""section"": ""Experimental Section; substituted triarylsilylphosphine preparation""}]",[],[],[],"{""inherits_upstream_preparation_id"": ""upstream-psiph3-triarylsilylphosphine"", ""source_statement"": ""The source describes an adapted P(SiPh3)3 route and specifies 10.9380 g of corresponding p-Cl chlorosilane."", ""explicit_delta"": {""chlorosilane"": ""ClSi(p-ClC6H4)3"", ""amount"": ""10.9380 g"", ""reported_product_mass"": ""1.89 g"", ""reported_yield"": ""20%""}, ""procedure_reuse_note"": ""All unlisted operations/charges are inherited only because the source states this preparation is adapted from the immediately preceding P(SiPh3)3 method; the paper does not restate them here."", ""proposed_current_schema_record_id"": ""gary-cossairt-2014-upstream-psipclaryl3"", ""canonical_mapping_status"": ""not_mapped_in_36_record_current_schema_candidate""}",Reader-only source evidence; no canonical upstream procedure record or downstream physical-batch link.
upstream-psipcf3aryl3-adapted-conflicted-link,P(Si(p-CF3C6H4)3)3,triarylsilylphosphine_synthesis,adapted_recipe_linked_to_base; precursor_batch_link_unresolved; not_current_schema_mapped,p-CF3 triarylsilylphosphine QD route,"[{""source_id"": ""gary-cossairt-2014-main"", ""source_pdf_sha256"": ""3842bc7fa6dc3fb36481b78f03f0b7bc4795f4bb82530e58a4e8f216678b794a"", ""pdf_page"": 9, ""printed_page"": ""1742"", ""section"": ""Experimental Section; substituted triarylsilylphosphine preparation""}]",[],[],[],"{""inherits_upstream_preparation_id"": ""upstream-psiph3-triarylsilylphosphine"", ""source_statement"": ""The source describes an adapted P(SiPh3)3 route and specifies 9.43 g of ClSi(p-CF3C6H4)3."", ""explicit_delta"": {""chlorosilane"": ""ClSi(p-CF3C6H4)3"", ""amount"": ""9.43 g"", ""reported_product_mass"": ""0.85 g"", ""reported_yield"": ""10%""}, ""procedure_reuse_note"": ""The phosphine preparation's chlorosilane label is preserved as printed, but the linkage to the preceding chlorosilane preparation is unresolved because that chlorosilane entry has an internal heading/substrate conflict."", ""proposed_current_schema_record_id"": ""gary-cossairt-2014-upstream-psipcf3aryl3"", ""canonical_mapping_status"": ""not_mapped_in_36_record_current_schema_candidate""}",Reader-only source evidence; no canonical upstream procedure record or downstream physical-batch link.
