atom_type,x_fractional,y_fractional,z_fractional
Si,0.26370,0.37680,0.18050
Si,0.38860,0.36240,0.37170
Si,0.44340,0.23520,0.62170
Si,0.58230,0.34610,0.87400
Si,0.32030,0.25080,0.77750
Si,0.76410,0.16000,0.11450
Si,0.96020,0.18460,0.03870
O,0.14770,0.44200,0.13960
O,0.25800,0.43960,0.87740
O,0.34500,0.12900,0.53840
O,0.63300,0.38690,0.15800
O,0.03650,0.44640,0.97450
C,0.01640,0.38520,0.65080
C,0.66940,0.26290,0.45710
C,0.95720,0.39190,0.54440
C,0.04880,0.30610,0.76070
C,0.08050,0.19480,0.84070
C,0.12720,0.39150,0.37460
C,0.87940,0.10870,0.61460
C,0.19950,0.26880,0.27480
C,0.84460,0.51030,0.68000
