parameter,printed_value,scope
space group,P21 (No. 4),Table 4 except explicitly labeled nearby prose residuals
a,11.15272(69) Å,Table 4 except explicitly labeled nearby prose residuals
b,5.00214(21) Å,Table 4 except explicitly labeled nearby prose residuals
c,13.66726(76) Å,Table 4 except explicitly labeled nearby prose residuals
beta,100.6331(9)°,Table 4 except explicitly labeled nearby prose residuals
wavelength,1.19963(6) Å,Table 4 except explicitly labeled nearby prose residuals
data collection temperature,298 K,Table 4 except explicitly labeled nearby prose residuals
profile range,4.0–55.0°,Table 4 except explicitly labeled nearby prose residuals
observables,5100,Table 4 except explicitly labeled nearby prose residuals
step scan increment,0.01°,Table 4 except explicitly labeled nearby prose residuals
variables,138,Table 4 except explicitly labeled nearby prose residuals
wRp Table 4,9.78%,Table 4 except explicitly labeled nearby prose residuals
Rp Table 4,8.89%,Table 4 except explicitly labeled nearby prose residuals
mean Si–O distance,1.592(3) Å,Table 4 except explicitly labeled nearby prose residuals
min Si–O distance,1.555(0) Å,Table 4 except explicitly labeled nearby prose residuals
max Si–O distance,1.621(1) Å,Table 4 except explicitly labeled nearby prose residuals
mean Si–O–Si angle,148.6(5)°,Table 4 except explicitly labeled nearby prose residuals
min Si–O–Si angle,132.4(4)°,Table 4 except explicitly labeled nearby prose residuals
max Si–O–Si angle,171.1(0)°,Table 4 except explicitly labeled nearby prose residuals
mean O–Si–O angle,109.4(5)°,Table 4 except explicitly labeled nearby prose residuals
min O–Si–O angle,104.6(1)°,Table 4 except explicitly labeled nearby prose residuals
max O–Si–O angle,113.8(2)°,Table 4 except explicitly labeled nearby prose residuals
nearby-prose wRp,9.71%,Table 4 except explicitly labeled nearby prose residuals
nearby-prose Rp,8.87%,Table 4 except explicitly labeled nearby prose residuals
