label,element,x,y,z,U_iso_A2
Si1,Si,0.2558(8),0.3385(22),0.1869(7),0.019(7)
Si2,Si,0.3963(8),0.3355(31),0.3874(7),0.064(8)
Si3,Si,0.4323(10),0.3363(30),0.6058(8),0.095(9)
Si4,Si,0.6337(8),0.3380(21),0.8955(6),0.004(5)
Si5,Si,0.3516(9),0.4094(20),0.7996(7),0.004(7)
Si6,Si,0.7451(8),0.4067(20),0.1181(7),0.003(5)
Si7,Si,0.9952(8),0.3947(33),0.0657(6),0.014(6)
O1,O,0.2820(9),0.3816(30),0.3036(6),0.002(4)
O2,O,0.3294(16),0.5403(24),0.1315(12),0.045(7)
O3,O,0.1138(8),0.3692(46),0.1504(7),0.001(4)
O4,O,0.2936(16),0.0386(24),0.1620(13),0.024(1)
O5,O,0.3565(12),0.3572(32),0.4942(05),0.012(1)
O6,O,0.4574(13),1.0463(36),0.3752(11),0.126(12)
O7,O,0.5020(11),0.5462(36),0.3807(11),0.073(4)
O8,O,0.3430(12),0.3596(29),0.6825(7),0.044(2)
O9,O,0.4891(7),0.3747(41),0.8557(11),0.002(4)
O10,O,0.6629(12),0.3845(36),0.0099(6),0.002(4)
O11,O,0.2652(13),0.2098(20),0.8435(11),0.073(7)
O12,O,0.3071(14),0.7112(19),0.8097(11),0.054(9)
O13,O,0.8812(8),0.3410(29),0.1139(9),0.002(4)
O14,O,0.0061(14),0.1947(37),0.9774(9),0.082(4)
