Table3_row,Co_to_Ni_ratio,Co_to_DDT_ratio,hot_injection_C,time_h_fixed_by_text,oleylamine_mL_fixed_by_text,TEM_mean_diameter_nm,sigma_over_mean_pct,isolated_yield_pct,same_recipe_note,source_id,pdf_page,printed_page,source_sha256,scope_note,coded_S9_crosswalk_status
01,1:2.0,1:4,180,2,7,6.4,28,75,center recipe repeats rows 16/17,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
02,1:2.0,1:16,180,2,7,5.9,20,66,,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
03,1:2.9,1:10,180,2,7,7.9,31,100,,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
04,1:2.3,1:10,188,2,7,6.9,26,76,same nominal recipe as row 14,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
05,1:2.0,1:2,180,2,7,9.9,28,76,,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
06,1:1.1,1:3,172,2,7,6.0,19,78,,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
07,1:1.7,1:3,180,2,7,7.1,20,58,,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
08,1:1.1,1:10,180,2,7,5.0,16,78,,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
09,1:1.7,1:10,172,2,7,7.4,23,42,,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
10,1:2.9,1:3,180,2,7,13.9,22,74,,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
11,1:2.6,1:4,172,2,7,8.4,21,80,,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
12,1:2.3,1:3,188,2,7,6.2,27,91,,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
13,1:1.4,1:4,188,2,7,6.9,31,100,same nominal recipe as row 15,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
14,1:2.3,1:10,188,2,7,6.0,18,79,same nominal recipe as row 04,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
15,1:1.4,1:4,188,2,7,6.7,31,76,same nominal recipe as row 13,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
16,1:2.0,1:4,180,2,7,6.5,26,85,same center recipe as rows 01/17,main,5,9426,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Observed table value; exact phase/XRD-to-row assignment generally absent. Main Table3 includes duplicate nominal recipes with distinct measured responses.,Unresolved; preserve main Table3 real-factor row; do not join to SI TableS9 by row position
