step,stage,operation_as_reported,materials,quantity,temperature,duration,atmosphere_pressure,other_condition,uncertainty,source_id,pdf_page,printed_page,source_sha256,additional_evidence_locator
1,conditioning,Dry and degas oleylamine and 1-dodecanethiol by heating under vacuum,oleylamine; DDT,,120 C,5 h,vacuum,before reaction,pressure unspecified,main,9,9430,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,
2,charge,Charge 50 mL three-neck round-bottom flask with reflux condenser with Ni(acac)2 and Co(acac)2; add degassed oleylamine,Ni(acac)2; Co(acac)2; oleylamine,Ni 0.50 g/0.20 mmol; Co 0.50-1.50 g/0.20-0.60 mmol; OAm 4-10 mL,,,Schlenk setup; air-free,,mass/mole mismatch and ratio orientation conflict,main,9,9430,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,
3,vacuum heat,Heat to 120 C and hold,reaction mixture,,120 C,30 min,vacuum,heat rate 10 C/min,vacuum pressure absent,main,9,9430,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,
4,nitrogen ramp / nucleation,"Switch to flowing N2; raise to chosen reaction temperature; metal precursor nucleation around 155 C, colorless to black",reaction mixture,,170-190 C,,flowing N2,says same rate as prior step and approx 14 C/min,heating-rate ambiguity,main,9,9430,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,main p3/9424 (nucleation around 155 C; colorless-to-black change)
5,hot injection / growth,"At final temperature inject degassed DDT, then hold at reaction temperature",DDT; reaction mixture,DDT 0.125-1 mL,170-190 C,1-5 h,flowing N2 (global Methods condition; step 5 does not restate the atmosphere),baseline narrative 180 C/2 h; optimization 2 h and 7 mL OAm,exact per-run absolute ratio amounts absent,main,9,9430,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,"Main PDF p9 / printed p9430, Materials and General Considerations; Nanocrystal Synthesis, steps 4–5"
6,cooling,Remove flask from heat source and cool naturally to room temperature,,,room temperature,,not specified,upon completion,cooling rate/environment unspecified,main,9,9430,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,
7,workup 1,"In air dilute with hexanes and sonicate; split into two 50 mL tubes, fill with ethanol, centrifuge; discard supernatant; redisperse particles in hexanes and sonicate",hexanes; ethanol,3-8 mL hexanes; first ethanol amount not given; 5 mL hexanes,room temp,sonicate 5 min; centrifuge 5 min; redisperse/sonicate 5 min,air during dilution,product retained in pellet,centrifuge rpm/RCF absent,main,9,9430,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,
8,wash 2,Precipitate/wash and redisperse with ethanol and acetone,ethanol; acetone,10 mL ethanol; 35 mL acetone,,sonication/centrifuge timing inherited as same procedure,air? not restated,washing cycle 2,fraction handling details partly inherited,main,9,9430,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,
9,wash 3,Wash with acetone,acetone,45 mL,,sonication/centrifuge timing inherited as same procedure,,washing cycle 3,fraction handling details partly inherited,main,9,9430,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,
10,final dispersion,Redisperse product in hexanes and sonicate,hexanes,10 mL,,10 min,,stable colloidal suspension for several months,product mass/storage conditions not stated,main,9,9430,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,
