run,block,A_code_Co_to_Ni,B_code_Co_to_DDT,C_code_temperature,D_code_time,E_code_oleylamine,Co_to_Ni_ratio_from_Table1,Co_to_DDT_ratio_from_Table1,hot_injection_C,time_h,oleylamine_mL,TEM_mean_diameter_nm,sigma_over_mean_pct,isolated_yield_pct,replicate_group,source_id,pdf_page,printed_page,source_sha256,scope_note
1a,1a,-1,1,-1,-1,1,1:1,1:16,170,1,10,5.8,18,48,,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
2a,1a,1,1,1,1,1,1:3,1:16,190,5,10,5.7,34,85,,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
3a,1a,-1,-1,-1,1,1,1:1,1:2,170,5,10,5.6,21,83,3a/3b,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
4a,1a,1,-1,1,-1,1,1:3,1:2,190,1,10,10.1,19,100,,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
5a,1a,1,-1,-1,-1,-1,1:3,1:2,170,1,4,7.5,42,71,,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
6a,1a,-1,1,1,-1,-1,1:1,1:16,190,1,4,4.0,17,81,,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
7a,1a,-1,-1,1,1,-1,1:1,1:2,190,5,4,5.1,37,88,,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
8a,1a,1,1,-1,1,-1,1:3,1:16,170,5,4,6.4,25,69,8a/8b,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
3b,1b,-1,-1,-1,1,1,1:1,1:2,170,5,10,5.5,18,72,3a/3b,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
8b,1b,1,1,-1,1,-1,1:3,1:16,170,5,4,6.4,18,50,8a/8b,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
1c,2a,-1,1,-1,1,1,1:1,1:16,170,5,10,4.8,17,77,,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
2c,2a,1,1,1,-1,1,1:3,1:16,190,1,10,5.8,26,94,,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
3c,2a,-1,-1,-1,-1,1,1:1,1:2,170,1,10,4.9,19,47,3c/3d,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
4c,2a,1,-1,1,1,1,1:3,1:2,190,5,10,10.7,21,100,,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
5c,2a,1,-1,-1,1,-1,1:3,1:2,170,5,4,12.4,23,90,5c/5d,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
6c,2a,-1,1,1,1,-1,1:1,1:16,190,5,4,5.0,11,96,6c/6d,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
7c,2a,-1,-1,1,-1,-1,1:1,1:2,190,1,4,4.7,14,89,,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
8c,2a,1,1,-1,-1,-1,1:3,1:16,170,1,4,7.3,26,35,,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
3d,2b,-1,-1,-1,-1,1,1:1,1:2,170,1,10,5.3,21,43,3c/3d,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
5d,2b,1,-1,-1,1,-1,1:3,1:2,170,5,4,10.4,21,47,5c/5d,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
6d,2b,-1,1,1,1,-1,1:1,1:16,190,5,4,5.0,16,96,6c/6d,main,4,9425,3af714cb0c5eff3a0f8e7d633226e96f8aaef1926c02290f16271a793d459620,Responses per Table 2; per-run XRD trace not assigned; Table 1 ratios retain unresolved Methods conflict.
