SI_row_label,observed_size_nm,predicted_size_nm,observed_sigma_over_mean_pct,predicted_sigma_over_mean_pct,observed_yield_pct,predicted_yield_pct,source_id,pdf_page,printed_page,source_sha256,sample_crosswalk_status,observed_desirability,predicted_desirability
1,6.44,6.363,27.4,27.4,75.0,76.667,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.628,0.634
2,5.86,6.014,19.5,21.688,66.0,68.25,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.722,0.700
3,7.94,8.014,31.4,26.244,100.0,94.696,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.578,0.667
4,5.95,5.722,18.3,21.269,79.0,82.054,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.780,0.756
5,9.9,9.746,27.6,25.413,76.0,73.75,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.558,0.588
6,5.96,5.886,18.9,24.056,78.0,83.304,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.769,0.716
7,7.11,7.338,19.5,16.531,58.0,54.946,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.668,0.682
8,5.04,6.534,16.0,15.944,78.0,67.554,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.823,0.754
9,7.36,5.712,22.8,20.669,42.0,50.196,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.560,0.649
10,13.89,12.396,21.8,21.856,74.0,84.446,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.508,0.585
11,8.41,9.83,20.8,25.9,80.0,74.857,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.697,0.582
12,6.18,7.828,27.0,29.131,91.0,82.804,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.682,0.591
13,6.93,6.085,30.8,28.45,100.0,90.571,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.611,0.655
14,6.66,6.085,31.2,28.45,76.0,90.571,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.553,0.655
15,6.18,6.363,28.6,27.4,85.0,76.667,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.637,0.634
16,6.47,6.363,26.2,27.4,70.0,76.667,si,16,S16,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,SI row number is not a stable sample ID; compare with Table 3; mapping unresolved; no stable sample ID inferred from this SI row,0.633,0.634
