SI_TableS9_row,Co_to_Ni_ratio_coded,Co_to_DDT_ratio_coded,temperature_coded,source_id,pdf_page,printed_page,source_sha256,crosswalk_status
1,0.000,0.000,0.000,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
2,0.000,1.000,0.000,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
3,0.866,0.500,0.000,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
4,0.289,0.500,0.817,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
5,0.000,-1.000,0.000,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
6,-0.866,-0.500,0.000,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
7,-0.289,-0.500,-0.0817,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
8,-0.866,0.500,0.000,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
9,-0.289,0.500,-0.817,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
10,0.866,-0.500,0.000,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
11,0.577,0.000,-0.817,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
12,0.289,-0.500,0.817,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
13,-0.577,0.000,0.817,si,13,S13,a9d9ea100cf09db2358a9df288124d77caea03168db4f1d410ff36488b58b80b,Raw SI value; mapping to main Table3/sample IDs unresolved; do not join by row position
